body_posture,left_elbow_angle,right_elbow_angle,left_shoulder_angle,right_shoulder_angle,right_torso_angle,left_torso_angle,right_hip_angle,left_hip_angle,right_knee_angle,left_knee_angle,elbow_mid_x,elbow_mid_y,wrist_mid_x,wrist_mid_y,elbow_distance,wrist_distance
open-1,81.36096508550852,69.7713891852762,101.32620740856086,102.72844292560953,20.632462585860967,17.962494312473847,171.47027856228527,169.72220326425924,177.55769990996373,179.87026137153785,318.62504959106445,215.01011610031128,367.3836898803711,367.3836898803711,112.14595832870194,99.57219336492138
open-1,65.12784741580705,42.52053098411502,107.28508298277681,103.6911772056921,20.860117582652787,23.962556505371232,170.899323379533,171.6040176535764,178.36588800462178,178.7155717447937,321.21883392333984,217.2569489479065,358.40800285339355,358.40800285339355,121.91247259443509,124.48298281041149
open-1,64.17993383266563,31.688901810200218,106.45298375620365,105.14992604808535,22.55097469870152,23.2040301362136,170.9547557749257,172.01631726670226,178.35422739364517,177.7342946621896,317.9630661010742,217.62356758117676,346.8588352203369,346.8588352203369,122.27538086334997,130.63490195726624
open-1,64.34706504606426,42.89480251105104,110.4770356065392,102.40160889514995,21.718050147956504,24.94410740331755,169.3552108118517,176.35511363255767,174.17818111560862,179.64542498837525,332.9963970184326,209.76159811019897,369.25341606140137,369.25341606140137,132.762621067582,133.3419182064372
open-1,79.36227964794335,47.93756684070949,100.02204816669143,102.7019733382454,22.8636162111566,14.474175618193314,173.02063949214397,174.70532276711901,176.6124102054457,178.00258933356346,298.8602828979492,212.2346019744873,347.46517181396484,347.46517181396484,129.72941013032363,133.0799673465005
open-1,71.1666599318509,46.469775294452,102.36810984864503,110.13607098920849,24.418794154629904,20.467270627134926,176.9504414425665,175.53237825276142,168.50656625673093,179.44137607872062,320.809383392334,292.86038875579834,395.67667961120605,395.67667961120605,184.6666126073968,193.71807780985338
open-1,68.28143575515698,52.205108506587116,102.7503216851078,105.88804942640994,23.908411127825257,17.902183710790034,176.5368810155146,176.80314041873646,167.48513692815726,179.0608163108623,291.8269920349121,301.62046909332275,361.95030212402344,361.95030212402344,181.8145954000466,188.19892511826717
open-1,69.81409971562225,51.4229605412738,102.36453361964725,105.06678196934465,22.724670802226523,18.22964463537538,175.10789046517237,175.59992320840973,171.09437195584567,178.90892761990517,305.027551651001,300.56509494781494,374.18219566345215,374.18219566345215,177.50007691283108,187.76034722086442
open-1,56.51618398793765,24.626163507157703,105.86103431135139,108.87827788892919,19.89164013539815,26.019471548834126,178.33171446303405,176.06774754758,172.477684145472,179.61297990520035,305.8370590209961,297.8060245513916,328.9198303222656,328.9198303222656,189.16410053894606,225.05882683944327
open-1,63.14988598948596,35.57019734773505,107.73416423005249,107.54790992963132,21.418381641177408,25.03657569367932,174.0476400810386,178.4177236028646,175.5302374591807,179.6673008057954,316.9142150878906,300.24491786956787,382.31334686279297,382.31334686279297,207.8938021670846,229.50289598585377
open-1,82.33177211583941,31.92919801109456,129.53224133956576,104.48998970578306,20.667667722944778,44.7200602584042,177.54311574600018,178.49196843812115,171.04915267929212,179.7161693622037,309.5862007141113,276.92786693573,389.060754776001,389.060754776001,239.78490701871308,249.43047838382824
open-1,79.93344350977243,31.139696702405434,128.92385073506026,102.97018927007457,19.620375701681912,43.89258565951329,176.84512063148136,178.04076762715314,172.06549394587816,179.6056140454426,312.2074794769287,283.0177974700928,388.4684658050537,388.4684658050537,239.85444287675543,248.79147803269973
open-1,76.34231223987264,26.420247520713986,128.06090728644733,101.98613480911422,19.059451095969532,43.01915783124009,174.694718298922,178.62219712615442,176.9206267322383,177.71628282146443,311.7506217956543,276.64239406585693,387.1161079406738,387.1161079406738,234.34377004772637,243.34482927085716
open-1,78.24076504592153,25.847792913617972,134.78227554567687,99.3203574590042,17.48766611421677,48.61266619306528,175.31858655311817,177.81648063708062,175.5729106761419,179.3044590012254,315.4265785217285,269.67979431152344,384.2163276672363,384.2163276672363,234.84307683431012,240.02709227109338
open-1,79.52148578860074,23.570431624332898,139.5712529666001,100.86273100168806,18.33376573106119,53.51355919212813,175.62490131753196,178.62418658990228,175.73818770009845,178.75763303862044,317.8310012817383,263.0079245567322,381.4099979400635,381.4099979400635,243.54702012083666,236.1677691477527
open-2,65.89158608961345,86.64764655575074,99.85282338926307,103.25346639781242,14.58262185696507,18.382637584776784,178.69708958724956,175.6493751680396,178.85469030608078,177.45267091178212,325.2599906921387,308.53474617004395,231.96160316467285,231.96160316467285,195.736870067117,194.21413451159376
open-2,58.9901879667266,85.7628478304644,102.53214218823688,102.90460522604027,16.392053281084852,19.572305442134862,179.35771965573605,174.33396556318158,177.32811186145858,179.04106334926047,341.9166660308838,303.60154151916504,236.8314266204834,236.8314266204834,220.94553078234858,215.38641677902064
open-2,47.85865459704726,63.25778615387684,100.78356664669677,105.07639693866076,23.45415471397697,14.458901566924746,178.18288104807908,173.28194350045908,178.48181208284078,179.93483087687642,304.67413902282715,299.6914529800415,219.28656578063965,219.28656578063965,240.37608094044344,207.37366035789137
open-2,73.39057450057349,104.64851239643701,98.66690536367383,105.89603158955325,17.70403563837015,17.459158826817994,179.11876560752276,172.36051771724243,178.22586620076822,179.0892269832664,322.55001068115234,310.19104957580566,206.32802963256836,206.32802963256836,231.91100582772086,218.69604128155686
